timestamp,tweet_text,username,all_hashtags,followers_count
9/23/20 12:01,"How long should I grow my hair?  Turn up, hit the link to check out my music! https://t.co/wydqy6sDQw!  #Timbaland #KanyeWest #Pharrell #Drake #JCole #KendrickLamar #BigSean #MikeWill #YBNCordae #Future #2Chainz #Outkast https://t.co/NR1D6pXtxf",ChaBoiiiTJ,"['Timbaland', 'KanyeWest', 'Pharrell', 'Drake', 'JCole', 'KendrickLamar', 'BigSean', 'MikeWill', 'YBNCordae', 'Future', '2Chainz', 'Outkast']",3
9/23/20 8:34,"I put my spin on an Aaliyah classic. I hope you dig the groove. Check it out &amp; let me know your thoughts in the comments. If you’re really digging it, do me a favor &amp; tag Timbaland! #boogondabeats #boogsgroove #BeatMaker #BeatStars #TheBEATKitchen #Aaliyah #RemixAlert #Timbaland https://t.co/GgC4RHx3T8",boogsworld,"['boogondabeats', 'boogsgroove', 'BeatMaker', 'BeatStars', 'TheBEATKitchen', 'Aaliyah', 'RemixAlert', 'Timbaland']",2979
9/22/20 22:17,#WAP WAP. As in #WompWomp  #Queens #Verzus #THOTs  #Timbaland #SwizzBeatz  #Challenge #Shmallenge #FameP https://t.co/j5JmXvtOm5,Fame_P_Mac,"['WAP', 'WompWomp', 'Queens', 'Verzus', 'THOTs', 'Timbaland', 'SwizzBeatz', 'Challenge', 'Shmallenge', 'FameP']",517
9/22/20 12:01,We all love when the drums kick in on a banger.   Peep my Spotify link - https://t.co/wydqy6sDQw  #Timbaland #KanyeWest #Pharrell #Drake #JCole #KendrickLamar #BigSean #MikeWill #YBNCordae #Future #2Chainz #Outkast https://t.co/F4BN4mtM3V,ChaBoiiiTJ,"['Timbaland', 'KanyeWest', 'Pharrell', 'Drake', 'JCole', 'KendrickLamar', 'BigSean', 'MikeWill', 'YBNCordae', 'Future', '2Chainz', 'Outkast']",3
9/17/20 19:37,.@Verzuzonline battle between @JanetJackson and @JLo  Who'z here 4 it? #Verzuz #swizzbeatz #timbaland #janetjackson #jlo #music #thursdayfeeling  #thursdaythoughts,KevinDonPorter,"['Verzuz', 'swizzbeatz', 'timbaland', 'janetjackson', 'jlo', 'music', 'thursdayfeeling', 'thursdaythoughts']",1227
9/17/20 18:23,"Hey @THEREALSWIZZZ and @Timbaland How's about a @Verzuzonline battle between female groups. Think: Total vz. Xscape. Call it: ""Total Xscape."" Gentlemen, can you make it happen? #Verzuz #swizzbeatz #timbaland #music #thursdaythoughts",KevinDonPorter,"['Verzuz', 'swizzbeatz', 'timbaland', 'music', 'thursdaythoughts']",1227
9/17/20 12:01,ATL has so much culture it's insane!   Hit the boy up on Spotify - https://t.co/wydqy6sDQw  #Timbaland #KanyeWest #Pharrell #Drake #JCole #KendrickLamar #BigSean #MikeWill #YBNCordae #Future #2Chainz #Outkast https://t.co/z4dpwQZNkY,ChaBoiiiTJ,"['Timbaland', 'KanyeWest', 'Pharrell', 'Drake', 'JCole', 'KendrickLamar', 'BigSean', 'MikeWill', 'YBNCordae', 'Future', '2Chainz', 'Outkast']",3
9/17/20 2:47,#NowPlaying #TOTAL - WHAT ABOUT US ft. #TIMBALAND on https://t.co/4oD2S7ksx9 R&amp;B 24-7,RickyWaddas,"['NowPlaying', 'TOTAL', 'TIMBALAND']",17070
9/16/20 23:39,"""Hotta than a summa day, in California!"" -Aaliyah ""Hot Like Fire Remix"" This track still gets the bankhead bounce treatment, #TILDISDAY #HOTLIKEFIRE #BABYGIRL #timbaland #missyelliott #supafriends #dabasementcrew https://t.co/itQLrWucBF",Neptonik_45,"['TILDISDAY', 'HOTLIKEFIRE', 'BABYGIRL', 'timbaland', 'missyelliott', 'supafriends', 'dabasementcrew']",797
9/16/20 20:32,Swizz Beatz Said Ms.Jackson If You Nasty Can’t Battle Missy Elliot https://t.co/tGvce0fA9i #Swizzbeatz #Timbaland #JanetJackson #MissyElliot #Verzuz #seriousquestion #WednesdayVibes #Keysadvice #Keyoftheweek,KeysAdvice,"['Swizzbeatz', 'Timbaland', 'JanetJackson', 'MissyElliot', 'Verzuz', 'seriousquestion', 'WednesdayVibes', 'Keysadvice', 'Keyoftheweek']",140
