timestamp,tweet_text,username,all_hashtags,followers_count
9/23/20 12:01,"How long should I grow my hair?  Turn up, hit the link to check out my music! https://t.co/wydqy6sDQw!  #Timbaland #KanyeWest #Pharrell #Drake #JCole #KendrickLamar #BigSean #MikeWill #YBNCordae #Future #2Chainz #Outkast https://t.co/NR1D6pXtxf",ChaBoiiiTJ,"['Timbaland', 'KanyeWest', 'Pharrell', 'Drake', 'JCole', 'KendrickLamar', 'BigSean', 'MikeWill', 'YBNCordae', 'Future', '2Chainz', 'Outkast']",3
9/23/20 8:34,"I put my spin on an Aaliyah classic. I hope you dig the groove. Check it out &amp; let me know your thoughts in the comments. If you’re really digging it, do me a favor &amp; tag Timbaland! #boogondabeats #boogsgroove #BeatMaker #BeatStars #TheBEATKitchen #Aaliyah #RemixAlert #Timbaland https://t.co/GgC4RHx3T8",boogsworld,"['boogondabeats', 'boogsgroove', 'BeatMaker', 'BeatStars', 'TheBEATKitchen', 'Aaliyah', 'RemixAlert', 'Timbaland']",2979
9/22/20 22:17,#WAP WAP. As in #WompWomp  #Queens #Verzus #THOTs  #Timbaland #SwizzBeatz  #Challenge #Shmallenge #FameP https://t.co/j5JmXvtOm5,Fame_P_Mac,"['WAP', 'WompWomp', 'Queens', 'Verzus', 'THOTs', 'Timbaland', 'SwizzBeatz', 'Challenge', 'Shmallenge', 'FameP']",517
9/22/20 12:01,We all love when the drums kick in on a banger.   Peep my Spotify link - https://t.co/wydqy6sDQw  #Timbaland #KanyeWest #Pharrell #Drake #JCole #KendrickLamar #BigSean #MikeWill #YBNCordae #Future #2Chainz #Outkast https://t.co/F4BN4mtM3V,ChaBoiiiTJ,"['Timbaland', 'KanyeWest', 'Pharrell', 'Drake', 'JCole', 'KendrickLamar', 'BigSean', 'MikeWill', 'YBNCordae', 'Future', '2Chainz', 'Outkast']",3
9/22/20 10:05,October 15th #a3c is going digital and #swizzbeatz and #Timbaland will talk about the inception of #verzuz... I’ll be tuning in! https://t.co/mtYxSSuGvc,TheCelebrityXO,"['a3c', 'swizzbeatz', 'Timbaland', 'verzuz']",790
9/22/20 4:47,#NowPlaying #TOTAL - WHAT ABOUT US ft. #TIMBALAND on https://t.co/4oD2S7ksx9 R&amp;B 24-7,RickyWaddas,"['NowPlaying', 'TOTAL', 'TIMBALAND']",17070
9/22/20 4:25,It's too late to apologize....... #22Ekim #timbaland,Ruhalinin50tonu,"['22Ekim', 'timbaland']",235
9/22/20 3:50,Nicole Wray - Make it Hot ft. Missy Elliott https://t.co/8PdNJG1Zej via @YouTube #WDMV362 Radio They Heard Us Loud &amp; Clear! #Nicole #MissyElliott #Timbaland LISTEN UP #BLAZENATION 🌟 🌟 🌟 🌟 🌟 😤 🌟 🌟 🌟 🌟 🌟,daddymack362,"['WDMV362', 'Nicole', 'MissyElliott', 'Timbaland', 'BLAZENATION']",4676
9/22/20 2:04,Why #timbaland cannot escape the digital vibe?????? #questions #hiphop #rap #aaliyah #missyelliott #worldstarhiphop https://t.co/vyj8T2c68o,LouVennace,"['timbaland', 'questions', 'hiphop', 'rap', 'aaliyah', 'missyelliott', 'worldstarhiphop']",5
9/21/20 14:33,Now On Air #Timbaland - #CarryOut   https://t.co/EGCGyrpR0o,venusfm,"['Timbaland', 'CarryOut']",1301
